id,split,V,A,D,teks
110CYL068_1036_1079,train,3.0,3.0,3.2,"Ingat apa yang dia katakan dalam surat terakhir saya? """
110CYL068_1079_1110,test,2.8,3.1,2.8,Jika saya tidak bekerja di sini.
110CYL068_1127_1130,train,3.0,3.0,3.0,".."""
110CYL068_1137_1188,train,3.44,3.0,3.22,Goodwill membantu orang keluar dari bantuan publik.
110CYL068_1189_1328,train,3.55,3.27,3.46,Sherry belajar melalui kelas Future Works kami bahwa dia dapat bangkit dari lumpur sistem kesejahteraan dan mendukung keluarganya.
110CYL068_1475_1558,train,3.6,3.3,3.8,Datang ke Goodwill adalah langkah pertama menuju saya menjadi benar-benar mandiri.
110CYL068_1559_1601,train,3.0,3.0,3.1,"Saya sekarang ... benar-benar lepas dari kesejahteraan."""
110CYL068_1608_1658,train,3.1,3.1,3.1,Goodwill mempersiapkan orang untuk pekerjaan seumur hidup.
110CYL068_163_275,train,3.25,2.88,3.0,"Inilah kisah sukses lain dari apa yang mungkin tampak seperti sumber yang tidak mungkin: pengontrol Goodwill, Juli."
110CYL068_1659_1810,train,3.25,3.0,3.25,Cornell menemukan sejumlah pilihan pekerjaan yang tidak pernah dia impikan ada setelah cedera di tempat kerja memaksanya keluar dari pekerjaannya di sebuah pengecoran.
110CYL068_1811_1946,dev,3.25,2.88,3.12,"Dia dilatih dalam penerbitan desktop dan menggabungkan etos kerjanya yang antusias dengan keterampilan yang baru ditemukan dalam industri yang sedang berkembang. """
110CYL068_18_24,train,3.0,2.62,3.0,Sayang
110CYL068_1946_1997,test,3.27,3.36,3.36,"Saya punya lebih dari sekadar pekerjaan; Saya punya karier."""
110CYL068_2040_2141,train,3.57,3.29,3.29,"Setelah cobaan seumur hidup, Donna tidak hanya mendapatkan GED-nya di Goodwill, dia mendapatkan pekerjaan di sini. """
110CYL068_2141_2194,train,2.88,3.0,3.25,Saya mengendarai sepeda ke Goodwill di tengah hujan dan salju.
110CYL068_2195_2216,train,2.7,3.3,2.9,Saya ingin berada di sana.
110CYL068_2216_2266,train,3.5,3.5,3.75,".. Saya memiliki kesempatan kedua untuk mengubah hidup saya."""
110CYL068_2273_2373,train,3.63,3.25,3.37,Hadiah Anda untuk Goodwill akan membantu banyak orang yang ingin menceritakan kisah sukses mereka sendiri.
110CYL068_2374_2413,train,3.7,3.4,3.3,Dukungan Anda akan membantu mereka pergi bekerja.
110CYL068_2420_2501,train,3.5,3.4,3.2,Silakan gunakan amplop tertutup untuk memberikan hadiah yang murah hati kepada Goodwill hari ini!
110CYL068_2508_2518,train,3.14,2.86,3.14,Dengan Hormat
